club,official_site,primary_role,secondary_role,person_status,notes
Atlanta United FC,https://www.atlutd.com,Sporting Director or Chief Soccer Officer,Head Video Analyst / Performance Analytics,verify_person,Official MLS club listing verified; verify current soccer operations leader before outreach.
Austin FC,https://www.austinfc.com,Sporting Director,Video Analyst / Soccer Operations,verify_person,Official MLS club listing verified; Rodolfo Borrell has been publicly listed as Sporting Director in recent sources; verify before sending.
Charlotte FC,https://www.charlottefootballclub.com,Sporting Director,Head of Analytics / Video Analyst,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Chicago Fire FC,https://www.chicagofirefc.com,Sporting Director,Video Analyst / Performance Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
FC Cincinnati,https://www.fccincinnati.com,General Manager / Sporting Director,Director of Analytics / Video Analyst,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Colorado Rapids,https://www.coloradorapids.com,President of Soccer Operations / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Columbus Crew,https://www.columbuscrew.com,President and General Manager / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
D.C. United,https://www.dcunited.com,General Manager / Chief Soccer Officer,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
FC Dallas,https://www.fcdallas.com,Technical Director / Sporting Director,Video Analyst / Academy Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Houston Dynamo FC,https://www.houstondynamofc.com,General Manager / Technical Director,Video Analyst / Performance Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Sporting Kansas City,https://www.sportingkc.com,Sporting Director / Chief Soccer Officer,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
LA Galaxy,https://www.lagalaxy.com,General Manager / Technical Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Los Angeles FC,https://www.lafc.com,Co-President and General Manager / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Inter Miami CF,https://www.intermiamicf.com,Chief Soccer Officer / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Minnesota United FC,https://www.mnufc.com,Chief Soccer Officer / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
CF Montreal,https://www.cfmontreal.com,Sporting Director,Video Analyst / Performance Staff,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Nashville SC,https://www.nashvillesc.com,General Manager / Chief Soccer Officer,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
New England Revolution,https://www.revolutionsoccer.net,Sporting Director,Video Analyst / Performance Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
New York Red Bulls,https://www.newyorkredbulls.com,Head of Sport / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
New York City FC,https://www.newyorkcityfc.com,Sporting Director,Video Analyst / City Football Group analytics contact,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Orlando City SC,https://www.orlandocitysc.com,General Manager / EVP Soccer Operations,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Philadelphia Union,https://www.philadelphiaunion.com,Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Portland Timbers,https://www.timbers.com,General Manager / Technical Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Real Salt Lake,https://www.rsl.com,Chief Soccer Officer / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
San Diego FC,https://www.sandiegofc.com,Sporting Director / Soccer Operations,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
San Jose Earthquakes,https://www.sjearthquakes.com,Sporting Director / General Manager,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Seattle Sounders FC,https://www.soundersfc.com,General Manager / Chief Soccer Officer,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
St. Louis CITY SC,https://www.stlcitysc.com,Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Toronto FC,https://www.torontofc.ca,General Manager / Sporting Director,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
Vancouver Whitecaps FC,https://www.whitecapsfc.com,Sporting Director / CEO Soccer Operations,Video Analyst / Analytics,verify_person,Official MLS club listing verified; verify current technical leadership before outreach.
